Name,xPos,yPos,Mass,Radius,uX,uy
Sun,0.00E+00,0.00E+00,1.99E+30,6.96E+08,0.00E+00,0.00E+00
MERCURY ,5.79E+10,0.00E+00,3.30E+23,2.44E+06,0.00E+00,4.74E+04
VENUS ,1.08E+11,0.00E+00,4.87E+24,6.05E+06,0.00E+00,3.50E+04
EARTH ,1.50E+11,0.00E+00,5.97E+24,6.38E+06,0.00E+00,2.98E+04
MARS ,2.28E+11,0.00E+00,6.42E+23,3.40E+06,0.00E+00,2.41E+04
