1000,-6.215114810073717e+33,6.190830041097482e+33,-1.24059448511712e+34
2000,-6.215114810063892e+33,6.190830059804143e+33,-1.2405944869868035e+34
3000,-6.215114810054068e+33,6.190830090976433e+33,-1.24059449010305e+34
4000,-6.215114810044235e+33,6.190830134614335e+33,-1.240594494465857e+34
5000,-6.215114810034401e+33,6.19083019071783e+33,-1.2405945000752232e+34
6000,-6.215114810024559e+33,6.19083025928689e+33,-1.240594506931145e+34
7000,-6.215114810014719e+33,6.190830340321478e+33,-1.2405945150336197e+34
8000,-6.215114810004866e+33,6.190830433821558e+33,-1.2405945243826424e+34
9000,-6.215114809995021e+33,6.190830539787082e+33,-1.2405945349782103e+34
10000,-6.215114809985162e+33,6.190830658218e+33,-1.2405945468203163e+34
11000,-6.215114809975308e+33,6.19083078911425e+33,-1.2405945599089559e+34
12000,-6.21511480996544e+33,6.190830932475776e+33,-1.2405945742441215e+34
13000,-6.215114809955569e+33,6.190831088302499e+33,-1.2405945898258068e+34
14000,-6.215114809945696e+33,6.190831256594345e+33,-1.240594606654004e+34
15000,-6.215114809935822e+33,6.190831437351232e+33,-1.2405946247287054e+34
16000,-6.215114809925943e+33,6.19083163057307e+33,-1.2405946440499012e+34
17000,-6.215114809916059e+33,6.190831836259767e+33,-1.2405946646175825e+34
18000,-6.215114809906169e+33,6.190832054411216e+33,-1.2405946864317385e+34
19000,-6.215114809896276e+33,6.190832285027318e+33,-1.2405947094923593e+34
20000,-6.215114809886384e+33,6.190832528107955e+33,-1.2405947337994339e+34
21000,-6.215114809876481e+33,6.190832783653008e+33,-1.2405947593529489e+34
22000,-6.215114809866576e+33,6.19083305166235e+33,-1.2405947861528926e+34
23000,-6.215114809856664e+33,6.190833332135852e+33,-1.2405948141992515e+34
24000,-6.215114809846755e+33,6.190833625073376e+33,-1.2405948434920131e+34
25000,-6.215114809836838e+33,6.190833930474779e+33,-1.2405948740311617e+34
26000,-6.215114809826919e+33,6.190834248339906e+33,-1.2405949058166826e+34
27000,-6.215114809816995e+33,6.190834578668607e+33,-1.2405949388485602e+34
28000,-6.21511480980707e+33,6.190834921460716e+33,-1.2405949731267785e+34
29000,-6.215114809797135e+33,6.190835276716067e+33,-1.2405950086513202e+34
30000,-6.215114809787204e+33,6.190835644434482e+33,-1.2405950454221686e+34
31000,-6.215114809777263e+33,6.190836024615786e+33,-1.240595083439305e+34
32000,-6.215114809767317e+33,6.190836417259789e+33,-1.2405951227027106e+34
33000,-6.215114809757374e+33,6.190836822366296e+33,-1.240595163212367e+34
34000,-6.215114809747422e+33,6.190837239935112e+33,-1.2405952049682534e+34
35000,-6.21511480973747e+33,6.190837669966027e+33,-1.2405952479703497e+34
36000,-6.215114809727513e+33,6.190838112458834e+33,-1.2405952922186347e+34
37000,-6.215114809717551e+33,6.190838567413317e+33,-1.2405953377130868e+34
38000,-6.215114809707586e+33,6.190839034829249e+33,-1.2405953844536835e+34
39000,-6.215114809697617e+33,6.190839514706401e+33,-1.2405954324404018e+34
40000,-6.215114809687644e+33,6.190840007044538e+33,-1.2405954816732182e+34
41000,-6.215114809677667e+33,6.190840511843418e+33,-1.2405955321521085e+34
42000,-6.215114809667693e+33,6.190841029102791e+33,-1.2405955838770484e+34
43000,-6.215114809657705e+33,6.190841558822412e+33,-1.2405956368480117e+34
44000,-6.215114809647721e+33,6.190842101002008e+33,-1.2405956910649728e+34
45000,-6.215114809637728e+33,6.190842655641319e+33,-1.2405957465279047e+34
46000,-6.215114809627741e+33,6.190843222740073e+33,-1.2405958032367814e+34
47000,-6.215114809617741e+33,6.190843802297991e+33,-1.2405958611915732e+34
48000,-6.215114809607739e+33,6.19084439431479e+33,-1.240595920392253e+34
49000,-6.215114809597736e+33,6.190844998790172e+33,-1.2405959808387908e+34
50000,-6.215114809587725e+33,6.19084561572385e+33,-1.2405960425311575e+34
51000,-6.215114809577715e+33,6.190846245115515e+33,-1.240596105469323e+34
52000,-6.215114809567701e+33,6.19084688696486e+33,-1.2405961696532562e+34
53000,-6.215114809557683e+33,6.190847541271568e+33,-1.2405962350829251e+34
54000,-6.215114809547656e+33,6.190848208035318e+33,-1.2405963017582974e+34
55000,-6.215114809537635e+33,6.190848887255782e+33,-1.2405963696793417e+34
56000,-6.215114809527606e+33,6.19084957893263e+33,-1.2405964388460236e+34
57000,-6.215114809517577e+33,6.190850283065517e+33,-1.2405965092583094e+34
58000,-6.21511480950754e+33,6.1908509996541e+33,-1.240596580916164e+34
59000,-6.215114809497501e+33,6.19085172869803e+33,-1.240596653819553e+34
60000,-6.215114809487454e+33,6.190852470196943e+33,-1.2405967279684398e+34
61000,-6.21511480947741e+33,6.190853224150478e+33,-1.2405968033627888e+34
62000,-6.215114809467362e+33,6.190853990558261e+33,-1.2405968800025623e+34
63000,-6.21511480945731e+33,6.190854769419921e+33,-1.240596957887723e+34
64000,-6.215114809447254e+33,6.190855560735074e+33,-1.2405970370182328e+34
65000,-6.215114809437197e+33,6.190856364503329e+33,-1.2405971173940526e+34
66000,-6.215114809427136e+33,6.190857180724292e+33,-1.2405971990151428e+34
67000,-6.215114809417068e+33,6.190858009397562e+33,-1.240597281881463e+34
68000,-6.215114809406999e+33,6.190858850522733e+33,-1.2405973659929732e+34
69000,-6.215114809396928e+33,6.19085970409939e+33,-1.2405974513496319e+34
70000,-6.215114809386854e+33,6.190860570127115e+33,-1.2405975379513968e+34
71000,-6.215114809376778e+33,6.190861448605481e+33,-1.240597625798226e+34
72000,-6.215114809366698e+33,6.190862339534058e+33,-1.2405977148900757e+34
