60,10000,-10000,3.49E+08
50,10000,-10000,4.36E+08
320,20000,0,4.83E+08
320,15000,0,5.69E+08
0,15000,-5000,9.58E+08
0,20000,-5000,1.35E+09
40,15000,-10000,1.53E+09
30,20000,-10000,1.56E+09
0,10000,-5000,1.66E+09
40,20000,-10000,2.09E+09
330,10000,0,2.21E+09
350,20000,-5000,2.91E+09
30,15000,-10000,3.00E+09
310,20000,0,3.05E+09
130,20000,-10000,3.32E+09
270,15000,5000,3.60E+09
40,10000,-10000,4.07E+09
30,5000,-5000,4.09E+09
330,20000,0,4.19E+09
330,15000,0,4.45E+09
350,15000,-5000,4.49E+09
320,5000,5000,4.60E+09
20,20000,-10000,5.38E+09
50,20000,-10000,5.48E+09
10,20000,-5000,5.60E+09
310,15000,0,5.66E+09
50,15000,-10000,5.78E+09
10,10000,-5000,6.01E+09
10,15000,-5000,6.35E+09
300,20000,0,6.36E+09
100,15000,-10000,6.75E+09
260,15000,5000,7.04E+09
340,20000,-5000,7.15E+09
320,10000,0,7.37E+09
80,20000,-15000,7.71E+09
20,15000,-10000,7.74E+09
120,20000,-10000,7.94E+09
280,15000,5000,8.02E+09
340,20000,0,8.04E+09
70,20000,-15000,8.11E+09
270,20000,5000,8.48E+09
60,20000,-10000,8.53E+09
90,20000,-15000,8.59E+09
280,20000,5000,8.79E+09
30,10000,-10000,9.08E+09
260,20000,5000,9.12E+09
10,20000,-10000,9.34E+09
290,20000,0,9.40E+09
350,5000,0,9.40E+09
60,20000,-15000,9.43E+09
340,15000,0,9.44E+09
300,10000,5000,9.46E+09
350,10000,-5000,9.57E+09
60,15000,-10000,9.62E+09
20,20000,-5000,9.79E+09
290,20000,5000,9.87E+09
340,15000,-5000,9.97E+09
340,10000,0,1.03E+10
20,5000,-5000,1.04E+10
70,10000,-10000,1.05E+10
250,20000,5000,1.09E+10
300,15000,0,1.10E+10
290,15000,5000,1.10E+10
70,20000,-10000,1.12E+10
100,20000,-15000,1.13E+10
330,20000,-5000,1.13E+10
50,20000,-15000,1.14E+10
190,20000,0,1.14E+10
300,20000,5000,1.16E+10
20,15000,-5000,1.17E+10
350,20000,0,1.20E+10
280,20000,0,1.21E+10
270,20000,-25000,1.22E+10
10,15000,-10000,1.26E+10
70,15000,-10000,1.28E+10
110,20000,-10000,1.28E+10
80,20000,-10000,1.32E+10
0,20000,-10000,1.34E+10
20,10000,-5000,1.35E+10
310,20000,5000,1.38E+10
300,15000,5000,1.38E+10
30,20000,-5000,1.39E+10
40,20000,-15000,1.39E+10
240,20000,5000,1.40E+10
270,15000,-25000,1.43E+10
350,15000,0,1.44E+10
90,20000,-10000,1.44E+10
90,15000,-10000,1.45E+10
270,20000,0,1.45E+10
100,20000,-10000,1.45E+10
20,10000,-10000,1.47E+10
80,15000,-10000,1.49E+10
70,15000,-15000,1.50E+10
60,15000,-15000,1.51E+10
290,10000,5000,1.51E+10
150,20000,-5000,1.52E+10
320,20000,-5000,1.54E+10
330,15000,-5000,1.55E+10
210,15000,-25000,1.59E+10
0,20000,0,1.60E+10
340,0,5000,1.60E+10
320,20000,5000,1.64E+10
130,15000,-5000,1.66E+10
260,20000,0,1.66E+10
50,15000,-15000,1.67E+10
110,20000,-15000,1.67E+10
290,15000,0,1.67E+10
30,20000,-15000,1.68E+10
290,5000,-25000,1.68E+10
310,15000,5000,1.68E+10
30,15000,-5000,1.69E+10
350,20000,-10000,1.75E+10
350,10000,0,1.75E+10
0,15000,-10000,1.76E+10
80,15000,-15000,1.77E+10
40,5000,-5000,1.77E+10
340,10000,-5000,1.77E+10
40,20000,-5000,1.78E+10
250,20000,0,1.85E+10
160,20000,-5000,1.87E+10
230,20000,5000,1.89E+10
40,15000,-15000,1.91E+10
330,20000,5000,1.92E+10
310,10000,5000,1.93E+10
0,15000,0,1.93E+10
340,5000,0,1.94E+10
310,20000,-5000,1.94E+10
180,20000,0,1.96E+10
310,10000,0,1.96E+10
20,20000,-15000,1.99E+10
10,20000,0,1.99E+10
320,15000,5000,2.01E+10
240,20000,0,2.06E+10
10,10000,-10000,2.06E+10
30,10000,-5000,2.08E+10
290,5000,10000,2.08E+10
320,15000,-5000,2.10E+10
260,10000,10000,2.13E+10
340,20000,-10000,2.15E+10
50,20000,-5000,2.16E+10
40,15000,-5000,2.20E+10
30,15000,-15000,2.22E+10
290,15000,-25000,2.22E+10
340,20000,5000,2.24E+10
10,5000,-5000,2.25E+10
350,15000,-10000,2.25E+10
140,20000,-10000,2.32E+10
300,20000,-5000,2.33E+10
10,20000,-15000,2.33E+10
230,20000,0,2.33E+10
110,15000,-10000,2.33E+10
280,15000,0,2.35E+10
330,15000,5000,2.36E+10
110,10000,-5000,2.36E+10
20,20000,0,2.39E+10
10,15000,0,2.42E+10
0,10000,0,2.43E+10
160,15000,0,2.49E+10
90,15000,-15000,2.51E+10
320,10000,5000,2.52E+10
60,20000,-5000,2.52E+10
120,20000,-15000,2.55E+10
330,20000,-10000,2.55E+10
350,20000,5000,2.56E+10
20,15000,-15000,2.56E+10
70,20000,-20000,2.58E+10
60,20000,-20000,2.59E+10
220,20000,5000,2.61E+10
330,10000,-5000,2.61E+10
220,20000,0,2.65E+10
310,15000,-5000,2.66E+10
200,20000,0,2.66E+10
0,10000,-10000,2.66E+10
0,20000,-15000,2.67E+10
50,20000,-20000,2.67E+10
80,20000,-20000,2.69E+10
250,15000,5000,2.69E+10
50,15000,-5000,2.69E+10
290,20000,-5000,2.69E+10
340,15000,5000,2.72E+10
0,5000,0,2.73E+10
290,20000,10000,2.75E+10
340,15000,-10000,2.75E+10
30,20000,0,2.78E+10
300,20000,10000,2.78E+10
40,10000,-5000,2.79E+10
280,20000,10000,2.79E+10
40,20000,-20000,2.82E+10
50,5000,-5000,2.83E+10
70,20000,-5000,2.85E+10
210,20000,0,2.87E+10
310,20000,10000,2.88E+10
310,20000,-25000,2.90E+10
0,20000,5000,2.90E+10
20,15000,0,2.91E+10
90,20000,-20000,2.92E+10
10,15000,-15000,2.93E+10
270,20000,10000,2.94E+10
320,20000,-10000,2.95E+10
240,0,-25000,2.98E+10
140,20000,-5000,3.01E+10
330,10000,5000,3.01E+10
30,20000,-20000,3.02E+10
350,20000,-15000,3.02E+10
320,20000,10000,3.03E+10
280,20000,-5000,3.04E+10
10,10000,0,3.08E+10
350,15000,5000,3.10E+10
250,10000,10000,3.12E+10
80,20000,-5000,3.15E+10
40,20000,0,3.16E+10
60,15000,-5000,3.17E+10
0,5000,-5000,3.17E+10
270,15000,0,3.18E+10
260,20000,10000,3.21E+10
300,15000,-5000,3.21E+10
330,20000,10000,3.23E+10
10,20000,5000,3.24E+10
330,15000,-10000,3.24E+10
40,10000,-15000,3.24E+10
20,20000,-20000,3.25E+10
350,10000,-10000,3.26E+10
100,20000,-20000,3.30E+10
50,10000,-15000,3.31E+10
0,15000,-15000,3.32E+10
300,10000,0,3.33E+10
310,20000,-10000,3.33E+10
270,20000,-5000,3.36E+10
340,20000,-15000,3.38E+10
30,15000,0,3.38E+10
30,10000,-15000,3.39E+10
90,20000,-5000,3.41E+10
80,5000,-5000,3.43E+10
320,10000,-5000,3.44E+10
340,20000,10000,3.45E+10
